country,days_since_outbreak,household_contacts,total_contacts,times_left_home,handwashes,masks_outside,majority_life_impacted
Italy,268,3.4,14.7,2,14.1,97.1,1
Italy,299,2.4,9.5,1.5,14.7,97.6,1
Italy,329,3.6,8.4,1.7,13.7,97,1
Italy,360,2.6,9.1,1.5,12.9,97.8,1
Italy,391,2.9,10.8,1.7,12.1,97.7,1
Italy,419,2.5,5.8,1.7,11.6,97.5,1
Italy,450,2.5,7.4,1.6,11.3,97.3,1
Italy,480,3.7,13.5,2.1,14.9,97.2,1
Japan,85,2.7,17.5,1.4,5.9,74.7,0
Japan,115,2.2,11.3,1.6,6.2,86,0
Japan,146,2.3,16.1,1.5,5.8,86.1,1
Japan,176,2.6,13.3,1.5,5.8,88.2,1
Japan,207,2.5,15.9,1.7,6,89.4,1
Japan,238,2.4,13.4,1.6,5.9,89.1,1
Japan,268,3.1,14.4,1.7,5.7,90.3,0
Japan,299,1.9,11.9,1.4,5.4,89,1
Japan,329,6,16.4,1.8,8.4,90,1
Japan,360,2.7,9.4,1.6,5.9,91.1,1
Japan,391,2.3,10.7,1.5,6.1,93.5,1
Japan,419,2,14.3,1.5,7,92.4,1
Japan,450,2.6,12.6,1.9,5.6,88.9,1
Japan,480,2.6,11.4,1.5,5.7,92.9,1
Malaysia,85,3.3,4.7,0.8,10.8,88.7,0
Malaysia,115,4.1,7.4,1.4,9.3,91.7,0
Malaysia,146,3.5,8.8,1.4,9.1,93,0
Malaysia,176,3.3,13,1.7,8.1,92.3,0
Malaysia,207,3.7,11.9,1.6,9,96.9,1
Malaysia,238,3.5,11.4,1.7,8.9,97,1
Mexico,85,3.1,7.6,1.1,12.1,70.9,0
Mexico,115,3.2,8.3,1.3,13.1,92.2,0
Mexico,146,4.6,8.5,1.3,11.8,93.7,1
Mexico,176,4.4,8.7,1.5,11.6,94.9,1
Mexico,207,5.1,9.3,1.5,12.5,95.6,1
Mexico,238,4,11.5,1.7,12.5,95.8,1
Netherlands,85,2.5,4.5,1.3,11,11.5,0
Netherlands,115,2.2,4.4,1.5,9.2,12.9,0
Netherlands,146,1.9,4.7,1.9,8.4,21,0
Netherlands,176,2.3,4.4,1.8,9.8,21,0
Netherlands,207,2.1,5.1,1.6,7.9,23.5,0
Netherlands,238,2.8,6.6,1.8,8.2,23.5,1
Netherlands,268,2,5.3,2.1,10.6,62.8,1
Netherlands,299,2.4,4.5,1.7,9.6,78.8,1
Netherlands,329,2.4,4.6,1.8,9.2,91.8,1
Netherlands,360,3.4,5.3,1.9,10.4,87.6,1
Netherlands,391,1.8,5.2,1.5,7,86.5,1
Norway,85,2.3,7.5,1.4,11.6,9.3,0
Norway,115,2.4,9.7,1.9,11.8,9.9,0
Norway,146,2.9,13.6,2,11.7,8.6,0
Norway,176,2.9,15.4,2,11.6,7.4,0
Norway,207,2.5,13.7,2,12.2,8.1,0
Norway,238,2.3,12,1.9,11.9,11.2,0
Norway,268,2.7,13.8,2,13.2,21.1,0
Norway,299,3,13.2,1.8,15,41.1,0
Norway,329,3.1,8.3,1.7,11,51.8,0
Norway,360,2.1,6.3,1.6,11.9,60.4,0
Norway,391,2,6.6,1.8,13.5,65.7,0
Norway,419,2,5.5,1.7,12.9,70.8,0
Norway,450,2.1,7.8,1.9,12.1,78.1,0
