county,state,asians,blacks,hispanics,whites,homeowner,households,housing_units,per_capita_income,foreign_born,pop_2020,pop_2010
Sublette County,WY,0.8,0.9,7.1,89.1,82.1,3340,6108,35874,4.4,8728,10247
Summit County,CO,1.5,1.4,14.6,81.5,65.5,10641,32085,41281,11.4,31055,27994
Summit County,UT,1.9,1.2,11.5,84,77.4,14220,28656,56575,9.6,42357,36324
Sutter County,CA,17,2.7,31.9,44.9,57.7,32636,34583,27371,22.2,99633,94737
Sweet Grass County,MT,0.6,0.4,2.9,92.7,72.3,1566,2164,30050,0.9,3678,3651
Sweetwater County,WY,1.1,1.4,16,79.3,76.2,15523,19909,32603,4.7,42272,43806
Taos County,NM,1,0.9,56.5,35.8,76.4,12103,21158,25646,6.1,34489,32937
Tehama County,CA,1.4,1.1,25.8,67.3,65.4,24189,27840,24301,8.4,65829,63463
Teller County,CO,1.1,1,7.1,88,82.5,10248,13511,35703,3.3,24710,23350
Teton County,ID,0.6,0.5,16.7,81.3,77.7,3707,6172,31191,7.8,11630,10170
Teton County,MT,0.9,0.3,1.7,93.2,69.9,2464,2922,28022,1.3,6226,6073
Teton County,WY,1.7,0.7,15.1,81,60.4,9019,14186,54051,11.8,23331,21294
Thurston County,WA,6.3,3.6,9.4,74.1,65.4,109983,119558,35169,8.1,294793,252264
Tillamook County,OR,1,0.7,10.5,84,69.3,10784,19291,27659,5.4,27390,25250
Tooele County,UT,0.8,0.9,12.9,82.5,80.9,20478,23163,25949,4.4,72698,58218
Toole County,MT,0.8,1,4.4,86.1,59.4,1867,2380,27528,3.4,4971,5324
Torrance County,NM,0.6,2.2,43.8,50.3,83.2,5644,8093,20876,4.3,15045,16383
Treasure County,MT,1,-1,4.2,90.2,68.1,351,434,29763,3.1,762,718
Trinity County,CA,1.5,0.8,7.4,81.9,68.9,5939,9013,26523,4.7,16112,13786
Tulare County,CA,4,2.2,65.6,27.7,57.1,138238,151603,21380,21.8,473117,442179
Tuolumne County,CA,1.5,2,12.7,79.7,71.3,22502,31700,34702,4.8,55620,55365
Twin Falls County,ID,1.8,0.9,17.1,78.2,68.9,31146,34199,25352,9,90046,77230
Uinta County,WY,0.5,0.8,9.3,87.3,77.1,7597,9108,28159,2.9,20450,21118
Uintah County,UT,0.6,0.7,8.4,81.5,75.9,10569,13832,25759,2.4,35620,32588
Umatilla County,OR,1.1,1.2,27.6,65.1,65.7,26908,30919,24444,10.4,80075,75889
Union County,NM,0.7,2.3,43.1,51.7,64.9,1395,2358,22116,5.6,4079,4549
Union County,OR,1.3,0.8,5.2,88.2,64.5,10708,11922,27646,2.9,26196,25748
Utah County,UT,1.9,0.8,12.2,81.7,67.6,165991,186554,26215,7.4,659399,516564
Valencia County,NM,0.8,1.8,61.1,31.9,81.5,27010,31576,23675,6.8,76205,76569
Valley County,ID,0.6,0.5,4.7,92,80.8,3869,12710,33709,0.7,11746,9862
Valley County,MT,0.9,0.5,2.8,84.5,74.9,3386,4897,27946,1.6,7578,7369
Ventura County,CA,7.9,2.4,43.2,44.7,63.2,271040,291512,38595,21.8,843843,823318
Wahkiakum County,WA,1.8,0.7,5.7,86.5,86.7,1897,2180,31110,4.7,4422,3978
Walla Walla County,WA,1.7,2.2,21.7,71.3,64.8,22646,25103,29035,10.1,62584,58781
Wallowa County,OR,0.5,0.5,3.6,92.6,69.7,3214,4282,30485,2.2,7391,7008
Wasatch County,UT,1,0.8,13.7,83.2,73,9879,14322,35641,7.6,34788,23530
Wasco County,OR,1.1,0.8,19.2,73.6,62.2,10305,11773,27445,8,26670,25213
Washakie County,WY,0.8,0.6,14.2,82.2,76.5,3365,3868,28101,1.6,7685,8533
Washington County,CO,0.4,1.2,10.9,85.7,66.9,2087,2476,27860,2.8,4817,4814
Washington County,ID,1,0.6,16.8,79.1,72.5,4035,4689,22650,6.3,10500,10198
Washington County,OR,11.7,2.5,17.1,64.6,61.6,219053,234162,39679,17.7,600372,529710
Washington County,UT,1,0.9,10.9,83.8,70.4,57144,74129,29010,5.4,180279,138115
Washoe County,NV,5.8,2.8,25,62.3,58.3,182180,205417,36071,14.1,486492,421407
Wayne County,UT,1,0.5,7,89.9,73.9,1000,1703,22038,3.2,2486,2778
