county,state,asians,blacks,hispanics,whites,homeowner,households,housing_units,per_capita_income,foreign_born,pop_2020,pop_2010
Goshen County,WY,1.1,1.1,10.8,85.2,73.7,5207,6030,28554,1.3,12498,13249
Graham County,AZ,0.7,1.9,33.2,51,70.3,11017,13770,18683,3,38533,37220
Grand County,CO,0.9,1,9.6,86.7,68.5,5884,17146,37876,5.4,15717,14843
Grand County,UT,1.5,0.9,10.6,81.9,65.1,4191,5725,27431,7,9669,9225
Granite County,MT,0.4,0.5,2.4,94,79.1,1308,2836,30752,0.5,3309,3079
Grant County,NM,0.9,1.4,50.4,45.8,68.1,11851,15162,25590,3.6,28185,29514
Grant County,OR,0.7,0.3,3.9,91.3,71.1,3381,4451,27367,2.9,7233,7445
Grant County,WA,1.2,1.8,42.2,53.3,62.5,30818,38512,24280,18.5,99123,89120
Grays Harbor County,WA,1.5,1.4,10.3,79,67,28722,36907,27210,4.8,75636,72797
Greenlee County,AZ,0.8,2.1,47.7,45.5,48.6,3132,4478,25780,2.3,9563,8437
Guadalupe County,NM,1.3,2.4,78.7,16.3,62.6,1384,2474,17420,2,4452,4687
Gunnison County,CO,0.9,0.6,9.6,86.8,61.4,6616,12228,32191,3.8,16918,15324
Haines Borough,AK,0.9,0.6,3.6,77.1,66.4,1007,1687,31731,5.1,2080,2508
Harding County,NM,0.3,0.6,46.9,52.2,65.4,211,543,34721,6.6,657,695
Harney County,OR,0.6,1,5.1,86.4,72.2,3244,3928,26370,1.3,7495,7422
Hidalgo County,NM,0.6,1.8,58,38.9,70.6,1679,2480,22009,7.9,4178,4894
Hill County,MT,0.5,0.6,4,68.3,61.8,6369,7352,23589,1.1,16309,16096
Hinsdale County,CO,1,1.5,5.7,88.4,71.6,377,1438,33570,1.4,788,843
Hood River County,OR,1.8,0.8,31.9,63,67.2,8600,10157,34926,16,23977,22346
Hoonah-Angoon Census Area,AK,1,2.2,6,46.6,75.5,791,1768,36091,5.6,2365,2150
Hot Springs County,WY,0.6,0.7,4.5,90.9,75.2,2118,2584,30643,0.2,4621,4812
Huerfano County,CO,0.9,1.4,33.9,61.6,71.8,3225,5333,25140,2.3,6820,6711
Humboldt County,CA,2.9,1.5,12.1,73.8,56.8,54679,63727,28769,5.3,136463,134623
Humboldt County,NV,0.9,1.1,27.5,64.7,71.4,6500,7617,33362,11.5,17285,16528
Idaho County,ID,0.6,0.5,3.6,90.6,76.7,6407,8783,22672,1.3,16541,16267
Imperial County,CA,2.1,3.3,85,10,58.3,44829,58280,18018,30.7,179702,174528
Inyo County,CA,1.7,1.2,23.4,60.8,65.5,7950,9609,32590,9.3,19016,18546
Iron County,UT,1,0.7,8.9,85.8,64,17015,22383,22909,4,57289,46163
Island County,WA,5.1,3.2,8.2,78.5,71.5,34768,42650,37087,7.7,86857,78506
Jackson County,CO,0.7,0.1,12.6,84.4,79.9,558,1338,28199,5.7,1379,1394
Jackson County,OR,1.6,1,13.5,80.1,63.2,88241,97266,30250,6.2,223259,203206
Jefferson County,CO,3.1,1.5,15.6,77.7,70.7,232284,245087,44119,6.4,582910,534543
Jefferson County,ID,0.6,0.5,10.6,86.5,80.7,8791,9768,24677,3.8,30891,26140
Jefferson County,MT,0.5,0.4,2.9,92.3,84.3,4484,5119,32773,1.1,12085,11406
Jefferson County,OR,0.9,1.2,19.9,60.7,68.1,8094,10305,23987,6.2,24502,21720
Jefferson County,WA,2,1.1,3.8,88.2,74.3,14705,18965,36598,5.8,32977,29872
Jerome County,ID,0.6,0.8,37.3,60.2,64.9,8022,8664,21461,16.4,24237,22374
Johnson County,WY,0.7,0.8,5,91,69.9,3845,4650,36084,1.1,8447,8569
Josephine County,OR,1.1,0.6,7.7,86.6,66.3,36367,39641,25167,4.1,88090,82713
Juab County,UT,0.4,0.6,5.8,91.1,78.6,3464,3889,22830,1.9,11786,10246
Judith Basin County,MT,0.4,0.1,1.9,95.8,75.7,906,1356,28811,0.2,2023,2072
Juneau City and Borough,AK,6.9,1.5,7,64.1,64.8,12676,13852,43680,8.8,32255,31275
Kane County,UT,1,0.8,4.7,90.6,77.4,2643,6184,26070,3.1,7667,7125
Kenai Peninsula Borough,AK,1.9,0.8,4.3,80,72.8,21630,31439,34226,3.3,58799,55400
Kern County,CA,5.4,6.3,54.6,32.8,58.3,270282,302898,23326,19.9,909235,839631
Ketchikan Gateway Borough,AK,8.2,1.1,5.6,63.9,61.6,5397,6458,37590,9,13948,13477
King County,WA,19.7,7,9.9,58.1,56.9,882028,970301,52462,23.1,2269675,1931249
Kings County,CA,4.4,7.5,55.3,31.3,52.3,43452,46965,22373,18.9,152486,152982
Kiowa County,CO,0.6,0.6,8.4,88.1,74.3,638,826,25937,0.6,1446,1398
Kit Carson County,CO,0.7,0.9,19.2,77.5,66.4,3004,3577,27797,7.5,7087,8270
Kitsap County,WA,5.4,3.2,8.2,76,67.8,103913,114920,37493,6.5,275611,251133
Kittitas County,WA,2.2,1.2,9,83.7,59.1,18347,24784,29161,5.1,44337,40915
Klamath County,OR,1.1,0.9,13.8,77.1,64.3,27886,33876,25880,5.4,69413,66380
Klickitat County,WA,0.9,0.7,11.7,82.3,68,8877,10667,29521,8.5,22735,20318
Kodiak Island Borough,AK,21.9,1.3,8.6,49.1,54.6,4261,5501,32876,19.8,13101,13592
Kootenai County,ID,0.9,0.4,4.9,90.3,70.4,62304,74624,29948,2.4,171362,138494
La Paz County,AZ,0.9,1.2,28.3,56.5,71.5,9346,16316,22879,9.7,16557,20489
La Plata County,CO,0.7,0.7,12.8,78.3,70.7,21794,28581,39493,2.7,55638,51334
Lake County,CA,1.4,2.1,22,68.9,66.4,25660,34572,27362,8.7,68163,64665
Lake County,CO,0.8,1,35.4,61,68.4,3392,4496,29122,9.4,7436,7310
Lake County,MT,0.5,0.5,4.8,65,72,11802,16958,25388,1.9,31134,28746
Lake County,OR,1.3,0.7,8.6,84,61.9,3515,4553,24241,4.4,8160,7895
Lake and Peninsula Borough,AK,3.1,1.3,3.5,22.3,71.5,421,1511,24836,2.2,1476,1631
Lander County,NV,1.2,1,23.2,69.1,73.4,2198,2741,34000,10.7,5734,5775
Lane County,OR,3.2,1.3,9.3,81.3,58.7,152312,164847,29705,5.8,382971,351715
Laramie County,WY,1.4,2.5,14.9,78.6,69.8,39683,44388,35190,3.4,100512,91738
Larimer County,CO,2.4,1.2,11.9,82.1,65,137021,154429,37363,5.6,359066,299630
Las Animas County,CO,1.3,2.2,40.4,54,67.4,6670,8626,25813,5.3,14555,15507
Lassen County,CA,1.6,8.4,19.3,64.7,67.6,9280,12784,22134,5.6,32730,34895
Latah County,ID,2.4,1.1,4.5,88.5,54.3,15422,17364,27011,6.1,39517,37244
Lea County,NM,0.7,4.3,60.1,34.3,66.8,22523,27028,25585,16.9,74455,64727
Lemhi County,ID,0.4,0.4,3.5,93.1,77.6,3582,4948,25075,2.2,7974,7936
Lewis County,ID,1.7,0.6,4.7,83.7,69.4,1646,1991,24094,2.2,3533,3821
Lewis County,WA,1.3,0.9,10.5,82.9,70.6,30618,35686,27127,5.2,82149,75455
Lewis and Clark County,MT,0.7,0.5,3.4,91,69.4,27893,31943,34504,1.2,70973,63395
Liberty County,MT,0.2,0.5,0.8,95.6,63,895,1047,43320,0.6,1959,2339
Lincoln County,CO,1,5.5,14.8,77,70.6,1518,2511,16753,4.4,5675,5467
Lincoln County,ID,0.7,0.5,31.4,64.9,68.2,1724,2017,21656,15.6,5127,5208
Lincoln County,MT,0.4,0.4,3.3,92.3,80.3,8122,11610,25081,3.5,19677,19687
Lincoln County,NM,0.6,1.1,34.4,60.3,80.6,7566,18366,27454,7.9,20269,20497
Lincoln County,NV,0.7,3.3,7.8,84.5,74.8,2018,2826,26432,2.8,4499,5345
Lincoln County,OR,1.4,0.9,9.5,82,65.6,21298,31945,27861,5,50395,46034
Lincoln County,WA,0.5,0.6,3.6,90.8,78,4525,6158,28891,1.7,10876,10570
Lincoln County,WY,0.6,0.6,4.6,92.3,82.4,6908,9698,29747,2.8,19581,18106
Linn County,OR,1.3,0.8,9.5,84.3,64.4,47762,51398,27345,4.4,128610,116672
Logan County,CO,1,4.5,17.2,75.6,65.2,8393,9148,26727,4.5,21528,22709
Los Alamos County,NM,6.6,1.4,18.5,71.2,74.1,7931,8401,60746,9.8,19419,17950
Los Angeles County,CA,15.4,9,48.6,26.1,45.8,3316795,3579329,34156,34,10014009,9818605
Luna County,NM,1.1,1.9,67.9,28.5,60.9,8904,11355,17168,17.8,25427,25095
Lyon County,NV,1.6,1.4,18.1,73.8,70.7,21189,24020,27855,6.9,59235,51980
Madera County,CA,2.6,4.2,58.8,33.2,64.1,44881,51438,22853,20.2,156255,150865
Madison County,ID,1.5,0.8,7.8,88.2,44.6,11016,15366,16585,4.6,52913,37536
Madison County,MT,0.6,0.4,4.4,92.5,77,3570,7004,35719,3.7,8623,7691
Malheur County,OR,1.5,1.7,34.6,60.1,58.3,10062,11957,18974,9.5,31571,31313
Maricopa County,AZ,4.6,6.4,31.4,54.5,62.2,1552096,1789190,33279,14.8,4420568,3817117
Marin County,CA,6.6,2.8,16.3,71.1,63.7,105432,113344,72466,18.1,262321,252409
Marion County,OR,2.5,1.6,27.2,64.7,60.2,118038,128622,27338,12.6,345920,315335
Mariposa County,CA,1.6,1.3,12.1,79.3,68.4,7643,10445,28757,5.8,17131,18251
Mason County,WA,1.3,1.5,10.6,79.8,77.4,24278,33987,28862,5.7,65726,60699
Matanuska-Susitna Borough,AK,1.7,1.3,5.2,78.6,77.1,31217,42120,31232,3.3,107081,88995
McCone County,MT,0.4,0.7,1.8,93.9,80.8,723,1024,27912,1.2,1729,1734
McKinley County,NM,1.1,0.7,14.2,8.3,70.9,20942,26429,15931,2.2,72902,71492
Meagher County,MT,0.4,0.5,1.8,95.3,72.5,702,1447,24723,3.3,1927,1891
Mendocino County,CA,2.3,1.1,25.8,64.3,59.9,34408,41027,29035,12.4,91601,87841
Merced County,CA,7.8,3.9,61,26.5,52.2,80008,86388,23011,26.3,281202,255793
Mesa County,CO,1,0.9,14.8,81.1,68.2,61742,68124,29596,4.1,155703,146723
Millard County,UT,1.6,0.6,12.9,82.8,74.5,4337,5142,25225,7.4,12975,12503
Mineral County,CO,0.5,0.3,6.2,91.2,86.6,367,1304,33955,1.3,865,712
Mineral County,MT,0.7,0.5,3.1,91.5,74,1786,2507,23621,1.7,4535,4223
Mineral County,NV,3.4,4.8,13.2,60.9,70.6,2048,2842,22921,2.6,4554,4772
Minidoka County,ID,0.6,0.8,36,61.3,73.4,7250,8504,24262,14.4,21613,20069
Missoula County,MT,1.8,0.5,3.4,89.1,58.9,49313,55544,31897,3,117922,109299
Modoc County,CA,1.2,1.4,14.6,77.2,74.9,3616,5276,22843,7.5,8700,9686
Moffat County,CO,0.8,0.8,16.2,79.7,64.8,5366,6342,29100,6.9,13292,13795
Mohave County,AZ,1.2,1.3,16.9,76.7,69.3,86889,116207,26166,6,213267,200186
Mono County,CA,2.6,0.8,26.8,65.8,64.4,4765,14208,34552,19.7,13195,14202
Monterey County,CA,6.7,3.4,59.4,29.4,51,127155,143201,30073,29.8,439035,415057
Montezuma County,CO,0.7,0.5,12.6,72.1,72.1,10655,12422,26072,2.9,25849,25535
Montrose County,CO,0.8,0.8,20.9,75.8,72.7,17140,19599,28078,7.7,42679,41276
Mora County,NM,0.6,1.1,81.2,16.9,85.5,1713,3328,19864,1,4189,4881
Morgan County,CO,0.8,4.2,36.5,57.5,64,10928,11989,25064,15.5,29111,28159
Morgan County,UT,0.6,0.5,3.2,94.4,85.3,3365,3725,31732,2.4,12295,9469
Morrow County,OR,0.6,1.1,37.7,58,70,4108,4789,23682,16.7,12186,11173
Multnomah County,OR,8.1,6,12,69.1,54.5,326229,359778,39245,13.8,815428,735334
Musselshell County,MT,1.8,0.8,3.7,89.7,72,2181,2697,24979,1.8,4730,4538
Napa County,CA,8.9,2.5,34.6,51.8,64.2,48705,55647,45195,22.1,138019,136484
Natrona County,WY,0.9,1.4,8.7,86.3,68.2,32799,37354,33797,2.2,79955,75450
Navajo County,AZ,0.6,1,11.5,41.6,68.8,34990,58502,18935,2.9,106717,107449
Nevada County,CA,1.5,0.6,9.8,84.7,74.2,40855,54809,39233,4.8,102241,98764
Nez Perce County,ID,0.8,0.5,4,86.8,72.8,16384,18004,29544,1.9,42090,39265
Niobrara County,WY,0.5,0.9,4,91.4,77.5,964,1370,22958,0.3,2467,2484
Nome Census Area,AK,1.5,0.9,2.9,14.9,60.5,2844,4100,23581,2.5,10046,9492
North Slope Borough,AK,5.5,1.6,4.3,30.9,52.7,1979,2631,48730,6.3,11031,9430
Northwest Arctic Borough,AK,1,1.8,3.7,10.7,56.2,1795,2756,23780,1.5,7793,7523
Nye County,NV,1.9,3.7,15.3,75.1,70.8,19088,22479,25558,7.2,51591,43946
Okanogan County,WA,1.3,0.9,20.7,64.3,65.8,17675,23516,24876,10.5,42104,41120
Oneida County,ID,0.6,0.4,4.4,93.5,79.9,1615,2019,22120,3,4564,4286
Orange County,CA,21.7,2.1,34,39.8,57.4,1037492,1118110,41514,30.1,3186989,3010232
Otero County,CO,0.9,1.7,42.2,53.6,63.9,7722,9003,21110,5,18690,18831
Otero County,NM,1.6,4.2,38.6,48.3,64.2,23634,31947,23170,11.3,67839,63797
Ouray County,CO,0.8,0.1,6.5,90.2,72.3,2163,3392,41160,1.7,4874,4436
Owyhee County,ID,0.8,0.9,25.8,68.9,70.9,4321,4994,22806,9.7,11913,11526
Pacific County,WA,2.1,1.1,10.1,81.7,80,9279,16417,26109,6.8,23365,20920
Park County,CO,0.9,0.9,6.4,89.1,86.4,6931,14865,36500,2.4,17390,16206
Park County,MT,0.4,0.4,3.3,93,68.5,7782,9718,35123,2.6,17191,15636
Park County,WY,0.8,0.8,5.5,91,73.2,12160,14693,35147,2.5,29624,28205
Payette County,ID,1,0.5,17.5,78.1,72.7,8876,9620,25768,7.2,25386,22623
Pend Oreille County,WA,1.2,0.7,4.1,88.2,77.9,5727,8372,28046,3.7,13401,13001
Pershing County,NV,1.4,4.6,24.8,64.2,66.8,1948,2508,19891,9.3,6650,6753
Petersburg Borough,AK,3.7,1.8,5.8,70.9,68.8,1187,1712,36112,8.8,3398,3815
Petroleum County,MT,-1,-1,2.3,94.3,74.5,204,332,31177,4.4,496,494
Phillips County,CO,0.5,1.1,20,77.3,71.9,1689,2161,26494,14.1,4530,4442
Phillips County,MT,0.3,0.3,3.8,82.7,77.1,1710,2358,25605,1.3,4217,4253
Pierce County,WA,7.1,7.7,11.4,65.7,62.1,323296,356273,34618,9.8,921130,795225
Pima County,AZ,3.3,4.2,37.8,51.2,63.2,404739,466299,29707,13,1043433,980263
Pinal County,AZ,1.9,5.4,30.7,56.1,76.7,141300,181388,24959,9,425264,375770
Pitkin County,CO,2,1.1,10.5,84.9,65,7467,14232,54875,14.4,17358,17148
Piute County,UT,0.4,0.3,8,89.5,83.6,532,1023,19012,0.8,1438,1556
Placer County,CA,8.2,1.9,14.4,71.5,71.9,142855,168919,43759,11.4,404739,348432
Platte County,WY,0.8,0.6,8.4,87.8,74.8,4030,4899,35312,3,8605,8667
Plumas County,CA,1.1,1.1,9.3,83.1,72.9,8450,15916,35198,4.2,19790,20007
Polk County,OR,2.1,1.1,14.5,77.3,66.3,30305,32957,29440,7.8,87433,75403
Pondera County,MT,0.7,0.4,2.2,80.5,74.6,2103,2679,25633,1.3,5898,6153
Powder River County,MT,0.1,0.1,2.3,92.7,74.6,737,1034,32094,1.2,1694,1743
Powell County,MT,0.4,1.2,2.9,88.6,67.1,2426,3287,26456,0.6,6946,7027
Power County,ID,0.5,1.1,34.6,60.7,74.4,2633,3043,23343,15.2,7878,7817
