id,tvinat,tvnaat,tvhardat,tvedat,tvsoftat,tvcrat,tvcomat,educ,age,marit,sex
132,7,8,5,6,4,5,6,16,21,1,0
133,3,2,1,1,1,6,6,14,21,1,1
134,6,6,1,1,1,6,9,15,21,1,1
135,9,8,8,8,8,2,2,12,81,4,0
136,10,9,9,1,1,9,1,20,46,2,0
137,8,8,10,8,6,6,1,12,35,1,1
138,2,1,2,2,1,7,7,15,22,1,1
139,7,6,8,6,4,3,6,12,36,1,1
140,8,8,5,5,5,1,3,18,48,2,0
141,5,5,4,4,3,7,7,16,42,1,0
142,0,0,0,0,0,0,0,18,33,2,0
143,8,9,8,8,8,2,1,14,45,3,0
144,5,2,3,3,7,9,9,12,44,1,1
145,10,9,6,3,4,2,1,16,24,1,1
146,4,4,5,1,2,8,5,12,45,2,1
147,6,5,3,3,2,0,0,16,90,4,0
148,0,0,0,0,0,0,0,20,58,2,1
149,0,0,0,0,0,0,0,21,66,2,1
150,10,10,0,2,2,1,1,20,49,1,1
151,8,8,5,3,4,8,7,13,19,1,1
152,0,0,0,0,0,0,0,13,41,3,0
153,0,0,0,0,0,0,0,18,40,2,1
154,0,0,0,0,0,0,0,20,41,2,0
155,10,10,8,99,99,8,4,18,47,2,0
156,8,8,8,6,6,7,7,20,73,2,0
157,7,7,5,5,4,6,6,18,40,2,1
158,5,6,6,3,5,8,8,15,20,1,1
159,10,10,1,1,1,1,1,16,47,2,0
160,5,5,10,10,9,8,4,10,64,2,0
161,2,4,6,1,4,3,3,16,40,2,0
162,10,10,99,99,1,1,1,12,41,1,1
163,8,8,7,5,4,6,4,16,63,2,1
164,0,0,0,0,0,0,0,12,52,2,1
165,5,5,6,9,10,10,2,12,47,2,0
166,0,0,0,0,0,0,0,18,25,1,0
167,3,10,3,1,1,10,1,11,45,3,0
168,5,4,6,3,7,1,10,16,22,1,1
169,7,7,7,7,10,10,10,12,30,2,1
170,5,6,8,8,7,8,5,16,28,1,0
171,8,8,5,5,5,8,8,15,21,1,1
172,5,8,8,7,7,8,99,12,63,2,0
173,5,5,9,6,9,4,1, , , ,0
174,5,1,1,5,5,5,7,12,22,1,0
175,2, , ,2,6,10,1,7,54,3,1
176,7,6,5,4,6,2,1,20,53,2,1
177,10,10,10,8,1,2,0,14,20,1,0
178,0,0,0,0,0,0,0,12,35,1,0
179,10,10,1,1,1,8,1,16,46,3,0
180,3,8,1,1,1,4,10,18,32,2,0
181,3,8,1,1,1,4,10,18,32,2,0
182,8,6,6,4,5,1,2,20,32,1,0
183,8,7,5,5,5,7,7,12,19,1,0
184,8,7,5,5,5,7,7,12,19,1,0
185,7,7,7,5,7,8,3,16,47,2,0
