Status,Progress,Duration..in.seconds.,Finished,RecordedDate,TV,Geslacht,Geslacht_4_TEXT,Leeftijd,Opleiding,Opleiding_11_TEXT,Nationaliteit,Nationaliteit_2_TEXT,Moedertaal,Moedertaal_2_TEXT,Sound_check,timerfiller_First.Click,timerfiller_Last.Click,timerfiller_Page.Submit,timerfiller_Click.Count,timermisinfo_First.Click,timermisinfo_Last.Click,timermisinfo_Page.Submit,timermisinfo_Click.Count,Attentioncheck1,misinfofamiliarity1_1,misinfofamiliarity2_1,timergeencorrectie_First.Click,timergeencorrectie_Last.Click,timergeencorrectie_Page.Submit,timergeencorrectie_Click.Count,timerregular_First.Click,timerregular_Last.Click,timerregular_Page.Submit,timerregular_Click.Count,timersatire_First.Click,timersatire_Last.Click,timersatire_Page.Submit,timersatire_Click.Count,Attentioncheck4,characteristics_1,characteristics_2,characteristics_3,characteristics_4,characteristics_5,characteristics_6,characteristics_7,correctiefam1_1,correctiefam2_1,discountingsatire_1,discountingsatire_2,discountingsatire_3,discountingregfiller_1,discountingregfiller_2,discountingregfiller_3,Veracity_1,mispercepties_1,mispercepties_2,mispercepties_3,mispercepties_4,attnatu_1,attnatu_2,attnatu_3,atthormo_1,atthormo_2,atthormo_3,involvement_1,involvement_2,involvement_3,sourcelikingGC_1,sourcelikingGC_2,sourcelikingGC_3,sourcelikingREG_1,sourcelikingREG_2,sourcelikingREG_3,sourcelikingSAT_1,sourcelikingSAT_2,sourcelikingSAT_3,vertrouwen_1,vertrouwen_2,vertrouwen_3,vertrouwen_4,vertrouwen_5,TikTokgebruik,gezondheidTT1_1,gezondheidTT2_1,gezondheidTT3_1,Religie_1,ACgebruik_1,ACgebruik_2,ACgebruik_3,ACgebruik_4,ACgebruik_5,ACgebruik_6,ACgebruik_7,ACgebruik_8,ACgebruik_9,ACgebruik_10,ACgebruik_11,ACgebruik_12,ACgebruik_13,ACgebruik_14,ACgebruik_15,ACgebruik_16,ACgebruik_17,ACgebruik_18,ACgebruik_19,ACgebruik_18_TEXT,Relatie,Relatie_4_TEXT,Zwanger,Conditie
0,100,1774,1,6/28/24 2:59,1,1,,30,6,,1,,1,,7,,,,,0,0,185.714,0,Hormonale anticonceptie,2,4,,,,,,,,,0,0,361.115,0,Natuurlijke anticonceptie ,4,3,4,5,6,5,4,3,4,2,4,4,,,,2,2,2,6,6,2,2,4,4,4,4,3,3,4,,,,,,,5,5,5,6,3,5,4,4,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,1,,2,satire
0,100,16,1,6/28/24 3:08,1,2,,35,5,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,678,1,6/28/24 3:20,1,1,,22,9,,1,,1,,7,0,0,203.519,0,,,,,Nee,4,5,0,0,364.922,0,,,,,,,,,No,2,5,4,5,4,4,5,4,4,,,,6,4,5,3,5,4,5,3,5,5,6,6,6,3,7,4,4,4,5,5,,,,,,,5,4,5,5,6,5,4,2,5,3,,1,,,,,,,,,,,,,,,,,,,2,,2,control
0,100,792,1,6/28/24 3:23,1,1,,29,9,,1,,1,,7,,,,,0,0,184.764,0,anticonceptie,2,6,,,,,0,0,351.213,0,,,,,Fabels ontkrachten rond de anticonceptiepil,5,6,6,6,5,2,6,6,6,,,,1,2,2,2,2,2,6,6,2,1,1,5,5,5,2,2,2,,,,6,5,5,,,,6,4,3,2,5,1,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,3,,2,regular
0,100,3531,1,6/28/24 3:26,1,1,,33,5,,1,,1,,7,17.985,92.361,419.665,14,,,,,Make up,1,2,52.419,334.118,500.219,6,,,,,,,,,Spaghetti,7,7,7,7,7,4,7,5,5,,,,3,5,3,6,5,6,6,6,6,6,6,5,5,5,6,6,6,7,7,7,,,,,,,6,4,5,5,4,1,1,1,2,5,,1,1,,,,,,,,,,,,,,,,,,3,,2,control
0,100,960,1,6/28/24 3:27,1,1,,33,5,,1,,1,,7,,,,,0,0,202.764,0,Anticonceptie ,1,1,,,,,,,,,0,0,459.337,0,Anticonceptie ,3,2,3,4,3,1,3,1,2,2,4,2,,,,3,3,4,5,5,4,4,3,4,4,4,4,3,3,,,,,,,2,3,2,4,3,4,3,3,6,3,2,3,1,,1,1,,,,,,,,,,,,,,,,,,1,,2,satire
0,100,1371,1,6/28/24 3:29,1,1,,31,5,,1,,1,,7,11.669,11.669,196.336,1,,,,,"Organizen, dansen, haar stylen",5,5,0,0,627.245,0,,,,,,,,,Vlugkokende pasta ,6,6,6,6,5,4,5,5,4,,,,1,3,2,4,2,2,6,6,2,2,2,6,6,6,3,3,2,6,6,5,,,,,,,6,5,5,4,5,8,2,3,2,1,,,,,,1,,,,,,,,,,,,,,,1,,2,control
0,100,986,1,6/28/24 3:29,1,1,,32,5,,1,,1,,7,,,,,0,0,198.425,0,Anticonceptie en de schade die je hierbij kan oplopen,5,4,,,,,0,0,377.839,0,,,,,Dat je ongewenst zwanger kan worden van anticonceptie er is klein3 kans ,6,6,6,6,5,3,6,3,5,,,,3,2,3,5,2,5,6,4,5,5,4,4,5,5,4,4,4,,,,6,5,5,,,,4,4,4,4,2,4,5,5,4,5,,,,,,1,,,,,,,,,,,,,,,1,,2,regular
0,100,1303,1,6/28/24 3:29,1,1,,35,5,,1,,1,,7,,,,,0,0,741.966,0,Geen,6,5,,,,,,,,,0,0,361.61,0,anticonceptie,3,3,4,6,4,4,4,4,4,4,4,4,,,,5,5,4,4,4,4,4,3,4,4,4,4,4,4,,,,,,,4,5,5,5,4,4,5,4,6,3,4,3,3,1,,,,,,,,,,,,,,,,,,,,3,,2,satire
0,100,919,1,6/28/24 3:29,1,1,,31,6,,1,,1,,7,,,,,13.223,13.223,174.654,1,Pil gebruik,2,2,279.854,351.43,438.551,14,,,,,,,,,Snelkokende pasta,5,5,5,6,5,5,7,4,3,,,,2,2,2,2,5,2,6,6,2,1,2,7,7,7,1,1,1,7,6,7,,,,,,,6,6,6,5,6,7,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,,2,misinfo
